%time,field.header.seq,field.header.stamp,field.header.frame_id,field.points0.x,field.points0.y,field.points0.z,field.points1.x,field.points1.y,field.points1.z,field.points2.x,field.points2.y,field.points2.z,field.points3.x,field.points3.y,field.points3.z,field.points4.x,field.points4.y,field.points4.z,field.points5.x,field.points5.y,field.points5.z,field.points6.x,field.points6.y,field.points6.z,field.points7.x,field.points7.y,field.points7.z,field.points8.x,field.points8.y,field.points8.z,field.points9.x,field.points9.y,field.points9.z,field.points10.x,field.points10.y,field.points10.z,field.points11.x,field.points11.y,field.points11.z,field.points12.x,field.points12.y,field.points12.z,field.points13.x,field.points13.y,field.points13.z,field.points14.x,field.points14.y,field.points14.z,field.points15.x,field.points15.y,field.points15.z
1452406184520276972,597,1452406184518857789,sonar_frame,0.0689999982715,1.60199999809,0.0,1.2922296524,1.52315950394,0.0,2.46808195114,1.41750001907,0.0,1.18330645561,0.206378564239,0.0,1.18232154846,-0.206204921007,0.0,4.47812700272,-2.57800006866,0.0,3.32793807983,-3.94922232628,0.0,0.0689999982715,-2.882999897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1452406184618485154,598,1452406184617977966,sonar_frame,0.0689999982715,1.60199999809,0.0,1.2922296524,1.52315950394,0.0,2.46808195114,1.41750001907,0.0,1.18330645561,0.206378564239,0.0,1.18232154846,-0.206204921007,0.0,4.47812700272,-2.57800006866,0.0,3.32793807983,-3.94922232628,0.0,0.0689999982715,-2.882999897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1452406184719426604,599,1452406184718816530,sonar_frame,0.0689999982715,1.60199999809,0.0,1.2922296524,1.52315950394,0.0,2.47068023682,1.41900002956,0.0,1.18330645561,0.206378564239,0.0,1.18232154846,-0.206204921007,0.0,4.47812700272,-2.57800006866,0.0,3.32793807983,-3.94922232628,0.0,0.0689999982715,-2.882999897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1452406184818539542,600,1452406184818072292,sonar_frame,0.0689999982715,1.60199999809,0.0,1.2922296524,1.52315950394,0.0,2.47068023682,1.41900002956,0.0,1.18330645561,0.206378564239,0.0,1.18232154846,-0.206204921007,0.0,4.47812700272,-2.57800006866,0.0,3.32793807983,-3.94922232628,0.0,0.0689999982715,-2.882999897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1452406184919405766,601,1452406184918921753,sonar_frame,0.0689999982715,1.60199999809,0.0,1.2922296524,1.52315950394,0.0,2.47068023682,1.41900002956,0.0,1.18330645561,0.206378564239,0.0,1.18232154846,-0.206204921007,0.0,4.47812700272,-2.57800006866,0.0,3.32793807983,-3.94922232628,0.0,0.0689999982715,-2.882999897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1452406185018681094,602,1452406185018212882,sonar_frame,0.0689999982715,1.60199999809,0.0,1.29158687592,1.52239346504,0.0,2.46981406212,1.41849994659,0.0,1.18330645561,0.206378564239,0.0,1.18232154846,-0.206204921007,0.0,4.47812700272,-2.57800006866,0.0,3.32793807983,-3.94922232628,0.0,0.0689999982715,-2.882999897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1452406185120295318,603,1452406185118923896,sonar_frame,0.0689999982715,1.60199999809,0.0,1.29158687592,1.52239346504,0.0,2.46981406212,1.41849994659,0.0,1.18330645561,0.206378564239,0.0,1.18232154846,-0.206204921007,0.0,4.47812700272,-2.57800006866,0.0,3.32793807983,-3.94922232628,0.0,0.0689999982715,-2.882999897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1452406185218701689,604,1452406185218211785,sonar_frame,0.0689999982715,1.60199999809,0.0,1.29158687592,1.52239346504,0.0,2.46981406212,1.41849994659,0.0,1.18330645561,0.206378564239,0.0,1.18232154846,-0.206204921007,0.0,4.47812700272,-2.57800006866,0.0,3.32793807983,-3.94922232628,0.0,0.0689999982715,-2.882999897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1452406185319575802,605,1452406185319162261,sonar_frame,0.0689999982715,1.60199999809,0.0,1.2922296524,1.52315950394,0.0,2.46981406212,1.41849994659,0.0,1.18330645561,0.206378564239,0.0,1.18232154846,-0.206204921007,0.0,4.47812700272,-2.57800006866,0.0,3.32793807983,-3.94922232628,0.0,0.0689999982715,-2.882999897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1452406185418729249,606,1452406185418355232,sonar_frame,0.0689999982715,1.60199999809,0.0,1.2922296524,1.52315950394,0.0,2.46981406212,1.41849994659,0.0,1.18330645561,0.206378564239,0.0,1.18232154846,-0.206204921007,0.0,4.47812700272,-2.57800006866,0.0,3.32793807983,-3.94922232628,0.0,0.0689999982715,-2.882999897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
